size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
 14, 4, 4,  4,  3,   , combine, 12,0.15,   0.000,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]","(0 3 0 8 0 0 1 7 3 6 1 4 4 5,3 0 1 0 6 5 0 7 0 4 3 1 4 8)"
 14, 4, 4,  4,  3,   ,combineS, 12,0.15,   0.000,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]","(0 3 0 8 0 0 1 7 3 6 1 4 4 5,3 0 1 0 6 5 0 7 0 4 3 1 4 8)"
 14, 4, 4,  4,  3,   ,  greedy, 12,0.15,   0.001,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]","(0 3 0 8 0 0 1 7 3 6 1 4 4 5,3 0 1 0 6 5 0 7 0 4 3 1 4 8)"
 14, 4, 4,  4,  3,  0,     pso, 12,0.15,   0.130,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]","(0 3 0 8 0 0 1 7 3 6 1 4 4 5,3 0 1 0 6 5 0 7 0 4 3 1 4 8)"
 14, 4, 4,  4,  3,  0, psoPure, 12,0.15,   0.132,"[0,3,0,8,0,0 1,7,3,6,1 4,4,5]","[3,0 1,0,6,5,0,7,0,4,3,1 4,8]","(0 3 0 8 0 0 1 7 3 6 1 4 4 5,3 0 1 0 6 5 0 7 0 4 3 1 4 8)"
 14, 4, 4,  4,  3,  0,psoCombS, 12,0.15,   0.701,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]","(0 3 0 8 0 0 1 7 3 6 1 4 4 5,3 0 1 0 6 5 0 7 0 4 3 1 4 8)"
 14, 4, 4,  4,  3,   ,     FPT, 11,0.23,   0.301,"[0,3,0,8,0,0,1,7,3,6,1,4,4,5]","[3,0,1,0,6,5,0,7,0,4,3,1,4,8]","(0 3 0 8 0 0 1 7 3 6 1 4 4 5,3 0 1 0 6 5 0 7 0 4 3 1 4 8)"
 15, 3, 6,  4,  4,   , combine, 13,0.14,   0.000,"[3,0,5,2 3,2,3,7,6,3,4,0,8,9 0]","[0,0,9 0,2 3,4,3,3,8,7,3,6,2,5]","(3 0 5 2 3 2 3 7 6 3 4 0 8 9 0,0 0 9 0 2 3 4 3 3 8 7 3 6 2 5)"
 15, 3, 6,  4,  4,   ,combineS, 13,0.14,   0.000,"[3,0,5,2,3,2,3,7,6,3 4,0,8,9 0]","[0,0,9 0,2,3 4,3,3,8,7,3,6,2,5]","(3 0 5 2 3 2 3 7 6 3 4 0 8 9 0,0 0 9 0 2 3 4 3 3 8 7 3 6 2 5)"
 15, 3, 6,  4,  4,   ,  greedy, 13,0.14,   0.000,"[3,0,5,2,3,2,3,7,6,3 4,0,8,9 0]","[0,0,9 0,2,3 4,3,3,8,7,3,6,2,5]","(3 0 5 2 3 2 3 7 6 3 4 0 8 9 0,0 0 9 0 2 3 4 3 3 8 7 3 6 2 5)"
